no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
11,)C=C3)C2=N1)NC4CC4COC1=CC2=C(CN(CC2)C3=CC(=C4C=C(OC),C(=N1)NC4CC4COC1=C(OC)C=C2CN(CCC2=C1)C3=[NH+]C4=CC(,0.84,1.06,13,9.73,1,2.06,0.5,0.47,0.08,0.02,1.11,0.99,0.00,0.31,-0.30,-0.33
12,C(=CC4=N3)OC)N)C=C1OCCN(C)CC1=C(OC2=CC=CC=C12)C(=O)NCC,=C(OC)C=C4C(=C3)N)OCC[NH+](C)CC1=C(OC2=C1C=CC=C2)C(=O)NCCOC,6.3,5.01,14,10.02,5.9,5.87,,,0.80,0.70,1.15,1.00,0.77,0.77,,
13,OC3=CC=C(C=C3)C(=O)NOCOC(=O)C1(CC1)OC(=O)C2=CN=C[N]2[C@,3=CC=C(C=C3)C(=O)N[O-]COC(=O)C1(CC1)OC(=O)C2=CN=C[N]2[C@H](C)C,2.6,2.07,16.33,9.02,5.9,5.54,,,0.41,0.32,1.21,0.96,0.77,0.74,,
14,H](C)C3=CC=CC=C3,3=CC=CC=C3,,,50.08,22.60,0.24,0.73,,,,,1.70,1.35,-0.62,-0.14,,
15,CC(=O)NCCC[S](O)(=O)=OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@@H]2CO)O[C@H]([C@H],CC(=O)NCCC[S]([O-])(=O)=OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@@H]2CO)O[C@H]([C@H](O)CO)[C@H,0.3,0.38,3.75,3.52,3.2,2.48,1,0.83,0.52,-0.42,0.57,0.55,0.51,0.40,0.00,-0.08
16,(O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3OCCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=,](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3OCCCC(=O)NC1=CC(=C(OC[C@@H](O)C[NH2+]C(C,0.32,0.40,2.2,1.98,2.7,3.06,,,0.49,-0.40,0.34,0.30,0.43,0.49,,
17,C1)C(C)=OCCN(CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C,)C)C=C1)C(C)=O,1.7,2.02,10,7.84,3.5,5.13,0.74,0.53,0.23,0.31,1.00,0.89,0.54,0.71,-0.13,-0.28
18,CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-,CC[NH+](CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-,1.9,2.32,4,5.21,6.4,4.55,0.9,0.77,0.28,0.36,0.60,0.72,0.81,0.66,-0.05,-0.11
19,])=O)C2=C(O)C3=CC=CC=C3OC2=O,])=O)C2=C([O-])C3=C(OC2=O)C=CC=C3,0.24,0.30,1.28,0.86,7.22,6.62,0.02,0.02,0.62,-0.52,0.11,-0.07,0.86,0.82,-1.70,-1.61
20,CC(=O)NC1=CC=C(O)C=C1,CC(=O)NC1=CC=C(O)C=C1,1,0.68,5,6.39,2.5,2.45,0.52,0.56,0.00,-0.17,0.70,0.81,0.40,0.39,-0.28,-0.25
21,CC(=O)NC1=NN=C(S1)[S](N)(=O)=O,CC(=O)NC1=NN=C(S1)[S](N)(=O)=O,0.37,0.47,0.65,1.17,13,7.95,0.04,0.14,0.43,-0.33,-0.19,0.07,1.11,0.90,-1.40,-0.84
22,CC(=O)N[C@@H](CS)C(O)=OOC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=C,CC(=O)N[C@@H](CS)C([O-])=OOC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)C,0.55,0.69,3.1,3.02,5.5,4.49,0.17,0.29,0.26,-0.16,0.49,0.48,0.74,0.65,-0.77,-0.53
26,C=C3)CCC1CC2)(C4=CC=CS4)C5=CC=CS5CC(C)N(CC[C@]1([C@H]2CCCCN2C(=NC1=,CC1CC2)(C4=CC=CS4)C5=CC=CS5CC(C)[NH+](CC[C@]1([C@H]2CCCCN2C(=NC1=O),4.3,3.42,48.5,21.09,,,,,0.63,0.53,1.69,1.32,,,,
27,O)C)C3=CC=CC=C3)C(C)C,C)C3=CC=CC=C3)C(C)C,0.58,0.73,6.79,5.49,1.89,3.05,0.7,0.34,0.24,-0.14,0.83,0.74,0.28,0.48,-0.15,-0.47
28,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1NC1=NC=NC2=C1N=C[N]2CCOC[P](O)(O)=,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,0.71,0.89,4.7,5.85,2.5,3.44,0.85,0.92,0.15,-0.05,0.67,0.77,0.40,0.54,-0.07,-0.04
29,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C4,NC1=C2N=C[N](CCOC[P]([O-])([O-])=O)C2=NC=N1C[NH+](C)CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C,0.42,0.37,3.7,3.24,1.6,2.29,0.96,0.86,0.38,-0.43,0.57,0.51,0.20,0.36,-0.02,-0.07
30,CN(CC1=C(C)C2=CC=CC=C2O1)C(=O)C=CC,CN(CC1=C(C)C2=C(O1)C=CC=C2)C(=O)\C=C\C3=C,0.98,1.23,6.2,4.60,2.1,3.79,0.31,0.13,0.01,0.09,0.79,0.66,0.32,0.58,-0.51,-0.88
31,3=CC4=C(NC(=O)CC4)N=C3CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(,C4=C(NC(=O)CC4)N=C3CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C,0.43,0.54,0.9,1.23,6.4,5.90,,,0.37,-0.27,-0.05,0.09,0.81,0.77,,
32,C)C)C2=C(C=CC=C2)N3CCCCC3)C(O)=OCC[C@@H]1[C@@H](O)N2[C@H]3CC1C4[,2=C(C=CC=C2)N3CCCCC3)C([O-])=OCC[C@@H]1[C@@H](O)[NH+]2[C@H]3C[C@H]1[,0.28,0.35,2.04,2.47,2.5,2.22,,,0.55,-0.45,0.31,0.39,0.40,0.35,,
33,C@@H](O)C5(C[C@H]24)[C@H]3N(C)C6=C5C=CC=C6,C@H]4[C@@H](O)[C@]5(C[C@@H]24)[C@H]3N(C)C6=C5C=CC=C6,4,3.18,9.8,6.77,7.3,5.82,0.24,0.30,0.60,0.50,0.99,0.83,0.86,0.77,-0.62,-0.52
34,CC(C)(C)NCC(O)C1=CC=C(O)C(=C1)COCC(C)(C)[NH2+]C[C@H](O)C1=CC(=C(O)C=C1)COOCC=C1C[N@@+]2(CC[C@@]34[C@@H]2C[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35),OC\C=C1\C[N@@+]2(CC[C@@]34[C@H]2C[C@@H]1\C5=C\N6[C@H]7\C(=C/N([C@H]35)C8=C4C=C,1.9,2.08,7.8,9.19,2.4,3.25,0.92,0.81,0.28,0.32,0.89,0.96,0.38,0.51,-0.04,-0.09
35,C8=CC=CC=C48)[C@H]9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)CC9=CCO)C%11=CC=CC=C6%11)CC=CCCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC,C=C8)[C@@H]\9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)CC9=C\CO)C%11=C6C=CC=C%11)CC=CCC1=C(C=C2C(=C1)C(=O)C3=C([NH]C4=C3C=CC,0.32,0.40,1.3,1.66,3.6,5.86,,,0.49,-0.39,0.11,0.22,0.56,0.77,,
36,4)C(C)(C)C5=C(C2=O)C6=CC=C(C=C6[NH]5)C#N,(=C4)C#N)C2(C)C)N5CCC(CC5)[NH+]6CCOCC6,6.35,5.04,7.69,6.48,11.7,10.60,0.003,0.01,0.80,0.70,0.89,0.81,1.07,1.03,-2.52,-2.27
37,NCCCC(O)([P](O)(O)=O)[P](O)(O)=OCC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C(,[NH3+]CCCC(O)([P]([O-])([O-])=O)[P]([O-])([O-])=O0.33CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C,,0.56,2.6,2.71,3.1,6.29,0.22,0.31,0.48,-0.25,0.41,0.43,0.49,0.80,-0.66,-0.51
38,CCC[C@]12C)=CC=C3C[C@@H](O)C[C@H](O)C3=CCCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O),@@]12C)=C\C=C\3C[C@@H](O)C[C@H](O)C3=CCCN1N=NN(CC[NH+]2CCC(CC2)(COC)N(C(=O)CC,,,0.82,1.11,48.6,28.57,,,,,-0.09,0.05,1.69,1.46,,
39,CC)C3=CC=CC=C3)C1=OCOC1=CC2=NC(=NC(=C2C=C1OC)N)N(C)C,)C3=CC=CC=C3)C1=OCOC1=C(OC)C=C2C(=NC(=NC2=C1)N(C)CCCNC(=,0.45,0.57,3.9,4.61,1.6,2.28,0.086,0.12,0.35,-0.25,0.59,0.66,0.20,0.36,-1.07,-0.92
40,CCNC(=O)C3CCCO3,O)[C@@H]3CCCO3)N,1.5,1.19,5.9,4.34,4.8,4.25,0.14,0.13,0.18,0.08,0.77,0.64,0.68,0.63,-0.85,-0.88
41,COC1=CC2=C([NH]N=N2)C=C1C(=O)NCC3,COC1=CC2=C([NH]N=N2)C=C1C(=O)NC[C@H]3C,2.72,6.40,12,10.52,3.14,4.45,0.4,0.21,0.43,0.81,1.08,1.02,0.50,0.65,-0.40,-0.68
42,CCCN3CC=C,CC[NH+]3CC=C,1.6,2.01,6.6,6.99,2.8,4.47,,,0.20,0.30,0.82,0.84,0.45,0.65,,
43,O=C1NC=NC2=C1C=N[NH]2FC1=CC=C(C=C1)C(N2CCN(CC2)C3=NC(=N,O=C1NC=NC2=C1C=N[NH]2FC1=CC=C(C=C1)C([NH+]2CCN(CC2)C3=NC(=NC(,0.58,0.62,11,8.78,0.8,1.06,0.97,0.81,0.24,-0.21,1.04,0.94,-0.10,0.03,-0.01,-0.09
44,C(=N3)NCC=C)NCC=C)C4=CC=C(F)C=C4CCC[S@](=O)CCCN(CC)C[C@@H](O)COC1,=N3)NCC=C)NCC=C)C4=CC=C(F)C=C4CCC[S@](=O)CCC[NH+](CC)C[C@@H](O)COC1=C,35.37,28.10,0.97,1.99,1344,176.91,0.01,0.01,1.55,1.45,-0.01,0.30,3.13,2.25,-2.00,-1.88
45,=CC=C(C=C1)C#NCNC(=O)C(N1CCC2=C(C=C(OC)C(=C2)OC)[,C=C(C=C1)C#NCNC(=O)[C@@H]([NH+]1CCC2=C(C=C(OC)C(=C2),1.8,1.87,11.3,9.51,2.4,2.76,,,0.26,0.27,1.05,0.98,0.38,0.44,,
46,C@@H]1CCC3=CC=C(C=C3)C(F)(F)F)C4=CC=CC=C4CN(C)CCC1=C[NH]C2=CC=C(C[S](=O)(=O),OC)[C@@H]1CCC3=CC=C(C=C3)C(F)(F)F)C4=CC=CC=C4C[NH+](C)CCC1=C[NH]C2=C1C=C(C[S](=O)(=O)N,9.75,7.75,10.2,8.38,34.3,23.98,,,0.99,0.89,1.01,0.92,1.54,1.38,,
47,N3CCCC3)C=C12C[N]1C2=C(C(=O)N(CC2)CC3=C(C)[NH]C=N,3CCCC3)C=C2C[N]1C2=C(C(=O)N(CC2)CC3=C(C)[NH]C=N3)C4=,2.2,1.63,8.9,9.52,3.4,3.63,0.6,0.51,0.34,0.21,0.95,0.98,0.53,0.56,-0.22,-0.29
48,3)C4=CC=CC=C14CN[S](=O)(=O)C1=CC(=C(OC)C=C1N)C(=O),C1C=CC=C4CN[S](=O)(=O)C1=C(N)C=C(OC)C(=C1)C(=O)NC[C,1.1,1.38,8.7,7.79,1.6,2.10,0.18,0.16,0.04,0.14,0.94,0.89,0.20,0.32,-0.74,-0.79
49,NC[C@@H]2CCCN2CC=C50CC1=NN=C2CN=C(C3=CC=CC=C3)C4=CC(=CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=CC[C@H]1CN(CC[C@@]1(C)C2=CC=CC(=C2),@@H]2CCC[NH+]2CC=CC[C@H]1C[NH+](CC[C@@]1(C)C2=CC(=CC=C2)O),2.3,1.83,5.47,4.63,4.8,4.47,0.29,0.15,0.36,0.26,0.74,0.67,0.68,0.65,-0.54,-0.83
53,O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(O)=,C[C@H](CC3=CC=CC=C3)C(=O)NCC([O-])=O,0.43,0.54,5.84,4.59,5.3,4.92,0.2,0.14,0.37,-0.27,0.77,0.66,0.72,0.69,-0.70,-0.84
54,N[C]12CC3[CH2][CH](C[CH]([CH2]3)C1)C2CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3),[NH3+][C]12C[CH]3C[CH]([CH2]C([CH2]3)C1)C2CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O),6.6,5.24,4.8,6.01,16,11.48,0.33,0.40,0.82,0.72,0.68,0.78,1.20,1.06,-0.48,-0.40
55,C(=O)N2[C@H]1C(O)=O,N2[C@H]1C([O-])=O,0.37,0.42,6.3,4.33,1.1,1.39,0.9,0.60,0.43,-0.38,0.80,0.64,0.04,0.14,-0.05,-0.23
56,COC1=CC(=CN=[N+]1C2=CC=CC=C2)NCNN1C=C(C(O)=O)C(=O)C2=C1C=C(N3CCN,COC1=[N+](N=CC(=C1)N)C2=CC=CC=C2CNN1C=C(C([O-,4,3.18,5.1,8.19,14.1,8.54,,,0.60,0.50,0.71,0.91,1.15,0.93,,
57,(C)CC3)C(=C2)F,])=O)C(=O)C2=C1C=C(N3CC[NH+](C)CC3)C(=C2)F,,,4.56,3.52,4.66,6.97,,,,,0.66,0.55,0.67,0.84,,
58,NCCCNCCS[P](O)(O)=ONCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[,[NH3+]CCC[NH2+]CCS[P]([O-])([O-])=O[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](,0.09,0.11,30.65,11.78,0.15,0.54,,,1.05,-0.95,1.49,1.07,-0.82,-0.27,,
59,C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3OCC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3OCC[C@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C5C,0.16,0.20,1.1,1.21,2.4,3.18,0.88,0.80,0.80,-0.70,0.04,0.08,0.38,0.50,-0.06,-0.10
60,CC5=C(N)C=CC=C5N=C34)C2=O,=CC=C(N)C5=C4)C2=O,2.2,1.18,6.5,5.64,7,5.27,0.003,0.01,0.34,0.07,0.81,0.75,0.85,0.72,-2.52,-1.84
61,NCCCCCC(O)=O,[NH3+]CCCCCC([O-])=O,0.39,0.34,2.5,2.52,4.9,3.62,0.92,0.83,0.41,-0.47,0.40,0.40,0.69,0.56,-0.04,-0.08
62,NCC(=O)CCC(O)=O,[NH3+]CC(=O)CCC([O-])=O,0.12,0.15,1.88,2.20,0.83,1.28,0.88,0.78,0.92,-0.82,0.27,0.34,-0.08,0.11,-0.06,-0.11
63,NC1=CC=C(O)C(=C1)C(O)=OCCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC),NC1=CC(=C(O)C=C1)C([O-])=OCCCCC1=C(C(=O)C2=CC(=C(OCC[NH+](CC)CC)C(,0.33,0.26,9.3,5.79,0.61,1.08,0.39,0.42,0.48,-0.58,0.97,0.76,-0.21,0.03,-0.41,-0.38
64,C(=C2)I)I)C3=CC=CC=C3O1CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(,146.660.00020.02=C2)I)I)C3=C(O1)C=CC=C3C[NH+](C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(,60,21.14,1.9,2.67,820,,,,1.78,1.33,0.28,0.43,2.91,2.17,-3.70,-1.71
65,C)(C)O[C@H]12)[C@H](O)COCN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC,C)O[C@H]12)[C@H](O)COC[NH+](C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC,1.04,0.83,3.48,3.65,4.07,4.09,0.97,0.85,0.02,-0.08,0.54,0.56,0.61,0.61,-0.01,-0.07
66,=C13CCOC(=O)C1=C(COCCN)NC(=C(C1C2=CC=,=C2CCOC(=O)C1=C(COCC[NH3+])NC(=C([C@@H]1C2,8.7,14.17,6.1,9.83,17,19.21,0.07,0.07,0.94,1.15,0.79,0.99,1.23,1.28,-1.15,-1.14
67,CCN(CC)CC1=CC(=CC=C1O)NC2=CC=NC3=,CC[NH+](CC)CC1=C(O)C=CC(=C1)NC2=C3C=CC(=,17,11.67,7,7.25,34,14.41,0.005,0.02,1.23,1.07,0.85,0.86,1.53,1.16,-2.30,-1.63
68,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C2,C[NH+](C)CCN1C(=O)C2=C3C(=CC=C2)C=C(N)C=,17.4,13.82,217,62.20,2.1,5.25,,,1.24,1.14,2.34,1.79,0.32,0.72,,
69,3)C1=O)NCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N),C3C1=OCC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])C,7.33,5.82,19.32,15.93,4.78,6.04,,,0.87,0.76,1.29,1.20,0.68,0.78,,
70,C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=OCCNC(=O)[C@H]1C[C@H]([C@H](O)[C@@,3=CC=C(O)C=C3)C(=O)N2[C@H]1C([O-])=OCCNC(=O)[C@H]1C[C@@H]([C@H](O)[C@@H]1O,0.25,0.27,3.3,3.05,1.1,1.31,0.85,0.69,0.60,-0.58,0.52,0.48,0.04,0.12,-0.07,-0.16
71,C=CS4)N=CN=C23,=CS4,0.84,1.06,12,7.98,1.33,2.38,0.03,0.03,0.08,0.02,1.08,0.90,0.12,0.38,-1.52,-1.48
72,C[C@H](N)CC1=CC=CC=C1CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N),C[C@H]([NH3+])CC1=CC=CC=C1CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])C,6.1,4.85,9.7,7.72,7.3,5.95,0.8,0.71,0.79,0.69,0.99,0.89,0.86,0.77,-0.10,-0.15
73,C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O,0.22,0.27,2.8,3.09,1.4,1.15,0.85,0.69,0.66,-0.57,0.45,0.49,0.15,0.06,-0.07,-0.16
74,NC1=CC(=CNC1=O)C2=CC=NC=C2COC1=CC(=CC=C1NC2=C3C=CC=CC3=NC4,NC1=CC(=CNC1=O)C2=CC=NC=C2COC1=C(NC2=C3C=CC=CC3=[NH+]C4=CC=CC=C,1.3,1.03,8.9,7.37,2,2.49,0.89,0.68,0.11,0.01,0.95,0.87,0.30,0.40,-0.05,-0.17
75,=CC=CC=C24)N[S](C)(=O)=OCNC(=O)C1=CC=CC2=C(NC3=CC=C(N[S](C,24)C=CC(=C1)N[S](C)(=O)=OCNC(=O)C1=C2[NH+]=C3C(=CC=CC3=C(NC4=C(O,1.6,1.27,4.3,3.40,4.7,5.66,0.029,0.02,0.20,0.10,0.63,0.53,0.67,0.75,-1.54,-1.68
76,)(=O)=O)C=C3OC)C4=CC=CC(=C4N=C12)COC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@H](C#N)C3=CC=CC=C3)[C@H](O)[C@,0.00110.0029C)C=C(N[S](C)(=O)=O)C=C4)C2=CC=C1)COC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@,0.3,0.38,2.6,2.90,2.4,3.96,,,0.52,-0.42,0.41,0.46,0.38,0.60,-2.96,-2.53
77,@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1OCCC1=C[C@@H]2CN(CCC3=C([NH]C4=CC=,H](C#N)C3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1OCCC1=C[C@@H]2C[NH+](CCC3=C([NH]C4=C3C=,0.21,0.26,1.88,2.04,1.23,1.73,,,0.68,-0.58,0.27,0.31,0.09,0.24,,
78,CC=C34)[C@@](C2)(C(=O)OC)C5=CC6=C(CC3)N1,CC=C4)[C@@](C2)(C(=O)OC)C5=C(OC)C=C6N(C)[N1,12,9.52,12,9.20,18,21.50,,,1.08,0.98,1.08,0.96,1.26,1.33,,
80,CN1N(C(=O)C=C1C)C2=CC=CC=C2C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3,CN1N(C(=O)C=C1C)C2=CC=CC=C2C[C@H]1COC2=C3N1C=C(C([O-,0.77,0.61,0.64,1.31,12,6.92,0.93,0.61,0.11,-0.21,-0.19,0.12,1.08,0.84,-0.03,-0.21
81,=C(N)C(=C2N4CCN(C)CC4)FCC1(C)SC2[C@@H](NC(=O)[C@H](NC(=O),])=O)C(=O)C3=C(N)C(=C2N4CC[NH+](C)CC4)FCC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](NC(=O),2.42,2.13,2.2,2.55,20.1,14.33,0.82,0.68,0.38,0.33,0.34,0.41,1.30,1.16,-0.09,-0.17
82,C3=CN=C4C=CC=NC4=C3O)C5=CC=CC=C5)C(=O)N2[C@H]1C(O)=OCOC1=CC=C(C=C1)[N]2N=C(C(N)=O)C3=C2,C3=C(O)C4=NC=CC=C4N=C3)C5=CC=CC=C5)C(=O)N2[C@H]1C([O-])=OCOC1=CC=C(C=C1)[N]2N=C(C(N)=O)C3=C2C(=O),0.16,0.20,1.9,1.86,1.2,2.30,0.1,0.10,0.80,-0.70,0.28,0.27,0.08,0.36,-1.00,-0.99
83,C(=O)N(CC3)C4=CC=C(C=C4)N5CCCCC5=OCN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=,N(CC3)C4=CC=C(C=C4)N5CCCCC5=OC[NH+]1CCC2=C3[C@@H]1CC4=CC=C(O)C(=C4C,0.3,0.38,0.8,1.36,12,9.98,0.13,0.08,0.52,-0.42,-0.10,0.13,1.08,1.00,-0.89,-1.10
84,C(O)C=C4)OCCOC1=CC(=CC=C1OC)[C@@H](C[S](C)(=,3=CC=C2)OCCOC1=C(OC)C=CC(=C1)[C@@H](C[S](C)(=O)=O),1.6,1.10,40,32.42,0.68,1.69,0.05,0.09,0.20,0.04,1.60,1.51,-0.17,0.23,-1.30,-1.04
85,O)=O)N2C(=O)C3=CC=CC(=C3C2=O)CC(C)=C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N,N2C(=O)C3=C(C2=O)C(=CC=C3)CC(C)=OC[C@@H](O[C@H]1OCC[NH+](CC2=N[N-,,,2.38,3.14,6.03,4.91,0.32,0.16,,,0.38,0.50,0.78,0.69,-0.49,-0.80
